Timestamp,Your preferred/playa name,Title of Event,Event Description,Type of Event,Is your event family friendly?,At what time does the event start,For how long does the event run,What day(s) is the event occurring,Location,All-day events
09/07/2019 10:58:04,TrineMai Lavina,Womens Circle,"Come and join a Circle of Women.
The energy is gentle, soft and heart opening. We connect with each other, mother, earth, spirit and our hearts.
- Singing
- Meditation
- Praying
- Sharing
- Womb & heart

",Ritual/Ceremony,Nooooope 💦,15:00:00,2:00:00,Thursday 25.,Camp Ygeia,
01/07/2019 12:47:51,Asis,The Holy Hole,"Practices in Pleasuring the male body. This is a fun and easy workshop for the curious and bold lovers who wish to learn how to give their partners the time of their lives with various techniques of massage, activation, relaxation, healing and pleasuring. There will be a demo of lingam (penis) and sacred spot (prostate) massage.Come with a partner to practise with Open to all genders 🌈",Workshop/Class,Nooooope 💦,16:30:00,2:00:00,Saturday 27.,Tantric Tipi,
01/07/2019 12:51:09,Storm and Asis,Conscious Group Intimacy,"Come in groups, 3 or more. 
How do I fit into a group intimate encounter? How do I set my boundaries and keep them? How can I stay connected and conscious? This can fit everyone, in any level of experience and can be on the spectrum of intimacy levels. COME PLAY WITH US!",Workshop/Class,,22:00:00,1:30:00,Friday 26.,Tantric Tipi,
01/07/2019 12:55:26,Delicious,Good Morning Yoga !,Join us for a series of gentle stretches and breathing exercies designed to limber up and open the body for the week of insane and wanton partying adventures in the week ahead. Hosted by the uber louche Sassy.,Workshop/Class,Yes 🧸,10:00:00,1:30:00,Tuesday 23.,Radical faerie Wonderland,
01/07/2019 13:00:16,Delicious,Judge Jewcy,"Got a problem? Heading for the divorce courts mid Bordlerland? Or just can't agree on which side of the tent you're sleeping on with your bestie? Come visit Judge Jewcy for a spot of conflict mediation on high heels. Adjudicated by Secret Door, Mörko and/or Delicious",Care/Support,Yes 🧸,13:00:00,1:00:00,"Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27.",Radical faerie Wonderland,
01/07/2019 13:03:36,Delicious,SINGING CIRCLE,The hiiiiiiiiills are alive with the sound of....Borderlings' music! OK so there aren't many hills to speak of at Hedeland ... but this is your opportunity to experience the art of song through sumptuous harmonies so you can spread the love and good vibes to all whom you come to meet hereafter. You will leave a changed person.* *personal changes can't be guaranteed. ,Workshop/Class,Yes 🧸,14:00:00,1:00:00,Tuesday 23.,Radical faerie Wonderland,
01/07/2019 13:09:06,Delicious,NAKED LIFE DRAWING,"We mix things up a butt in a life-drawing roulette, where not only the model is naked. Need we say more? Hosted by life-drawing lover Involuble.",Workshop/Class,Yes 🧸,17:00:00,1:00:00,Tuesday 23.,Radical faerie Wonderland,
01/07/2019 13:06:33,Delicious,Painting Emotions,"Geez, how did we get emotions? It's difficult enough living with them, let alone talking about them and sharing them. So here's an opportunity for you to give your feelings a different dimension: colour! In this workshop you'll be taken through a special practice designed to encourage emotional expression through the medium of paint. Run by our resident psychotherapist Felicious.",Workshop/Class,Yes 🧸,16:00:00,1:00:00,Tuesday 23.,Radical faerie Wonderland,
01/07/2019 13:12:49,Delicious,NAIL / MAKE UP BAR,Come put the finishing touches to your look by some queers who know their shit (or who will fake it till they make it <3 ).,Workshop/Class,Yes 🧸,18:00:00,1:00:00,"Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27.",Radical faerie Wonderland,
01/07/2019 13:15:45,Delicious,Cuddle Puddle,CUDDLE PUDDLE. Cuddles. Lots of them. In a puddle in fact.,Care/Support,Nooooope 💦,20:00:00,2:00:00,"Tuesday 23., Wednesday 24., Thursday 25., Friday 26.",Radical faerie Wonderland,
